family; 家庭
small talk; 闲聊
photo; 照片
show; 展示
mum; 妈妈
dad; 爸爸
me; 我
sister; 姐/妹
brother; 兄/弟
love; 喜欢，爱
warm; 温暖
happy; 开心，兴奋
I'm in your arms.; 我在你的怀抱里
Mum, Mum, I love you.; 妈妈，我爱你
I'm in your eyes.; 我在你的眼里
Dad, Dad, I love you.; 爸爸，我爱你
You are in my heart.;你在我的心里
Dear sister, I love you.; 亲爱的姐/妹，我爱你
I love my family.; 我爱我的家

Family 
Family, family,
What is a family?
Mum, Dad, Brother,
Sister and me.
This is my family.
Warm and happy.
