Grandpa,爷爷、外公
Grandma,奶奶、外婆
Dad,爸爸
Mum,妈妈
Hello! / Hi!,你好!
Good morning, Shenshen.,早上好,申申。
Goodbye, Miss Li.,再见,李老师。
I learn English.,我学习英语。
We learn English.,我们学习英语。
Stand up. / Sit down.,起立。/ 坐下。
