hello,你好
hi,你好
friend,朋友 (单数)
friends,朋友 (复数)
welcome,欢迎
China,中国
name,姓名
nice,好的
meet,遇见
sorry,抱歉
new,新的
London,伦敦
new friends,新朋友们
make new friends,结交新朋友们
my friends,我的朋友们
welcome to ...,欢迎来到...
meet Lily,遇见莉莉
Hello, Minmin!,你好,曼曼!
Welcome to China.,欢迎来到中国。
My name is Shenshen.,我的名字是申申。
I'm Lily White.,我是莉莉·怀特。
Nice to meet you.,很高兴认识你。
Good to meet you, Lily.,很高兴遇见你,莉莉。
I'm sorry.,我很抱歉。
