morning,早晨、上午
afternoon,下午
evening,傍晚、晚上
good,好的
goodbye,再见
how,怎样
I,我
you,你
fine,好的
dad,爸爸
greeting,问候
class,同学们
Good morning.,早上好。
Good morning, Miss Li.,早上好,李老师。
Good afternoon.,下午好。
Good afternoon, class.,下午好,同学们。
Good evening.,晚上好。
Good evening, Dad.,晚上好,爸爸。
How are you?,- 你好吗?
I'm fine. Thank you.,- 我很好。谢谢。
