amazing;
website;
feed;
herd;
goat;
remember;
collect;
recognise;
care;
take care of;
prefer;
get along with;
sign;
bite;
warning;
peck;
sweet;
calf;
loud;
noise;
meaning;
shout;
jacket;
if;
snack;
could;
hen;
diary;
cookie;
direct;
yard;
glad;
believe;
ungorgettable;
smooth;
neck;
friendly;
ride;
