tie;
relation;
introduce;
classmate;
relative;
only;
only child;
twin;
husband;
wife;
son;
daughter;
other;
member;
add;
note;
album;
teach;
homework;
guitar;
elder;
sofa;
round;
dark;
chess;
duty;
born;
weekend;
thing;
enough;
Well done;
dish;
usually;
quick;
together;
flat;
fun;
celebration;
prepare;
decorate;
living room;
balloon;
set;
surprised;
super-excited;
joy;
jump for joy;
