date;
ground;
sports ground;
gym;
team;
high;
rope;
kick;
rock;
climb;
rock climbing;
kung fu;
active;
part;
take part in;
baseball;
volleyball;
badminton;
tennis;
pull;
jog;
safety;
ankle;
match;
gear;
example;
for example;
warm up;
watch out;
matter;
What's the matter?;
happen;
just;
fall;
guess;
knee;
How come?;
seem;
problem;
score;
goal;
goalkeeper;
hold;
throw;
point;
control;
mind;
powerfull;
style;
moment;
report;
newspaper;
court;
against;
shoot;
basket;
tie;
track;
