life;
break;
ICT;
geography;
history;
more;
instruction;
experiment;
activity;
club;
calligraphy;
join;
technology;
everyone;
lab;
field;
grade;
excuse;
excuse me;
of course;
project;
start;
topic;
online;
receive;
reply;
group;
most;
a.m.;
end;
p.m.;
difference;
same;
during;
outside;
noon;
connect;
comment;
